 q      C(qinv)
  2.5  0.00017
  7.5  0.11856
 12.5  0.35359
 17.5  0.53696
 22.5  0.66464
 27.5  0.75289
 32.5  0.81492
 37.5  0.85890
 42.5  0.89057
 47.5  0.91368
 52.5  0.93061
 57.5  0.94319
 62.5  0.95276
 67.5  0.96013
 72.5  0.96596
 77.5  0.97029
 82.5  0.97420
 87.5  0.97713
 92.5  0.97968
 97.5  0.98173
102.5  0.98362
107.5  0.98511
112.5  0.98647
117.5  0.98760
122.5  0.98860
127.5  0.98956
132.5  0.99035
137.5  0.99105
142.5  0.99163
147.5  0.99224
152.5  0.99273
157.5  0.99323
162.5  0.99359
167.5  0.99398
172.5  0.99432
177.5  0.99466
182.5  0.99497
187.5  0.99525
192.5  0.99542
197.5  0.99567
