 q      C(qinv)
  2.5  0.00007
  7.5  0.04561
 12.5  0.14220
 17.5  0.24006
 22.5  0.34570
 27.5  0.46588
 32.5  0.59292
 37.5  0.70641
 42.5  0.79301
 47.5  0.84804
 52.5  0.87955
 57.5  0.89992
 62.5  0.91640
 67.5  0.92967
 72.5  0.94424
 77.5  0.95698
 82.5  0.96990
 87.5  0.98152
 92.5  0.98984
 97.5  0.99367
102.5  0.99546
107.5  0.99243
112.5  0.98910
117.5  0.98493
122.5  0.98175
127.5  0.97959
132.5  0.97833
137.5  0.97794
142.5  0.97806
147.5  0.97911
152.5  0.98017
157.5  0.98140
162.5  0.98422
167.5  0.98615
172.5  0.98960
177.5  0.99371
182.5  0.99950
187.5  1.00580
192.5  1.01028
197.5  1.01254
