 q      C(qinv)
  2.5  0.00007
  7.5  0.04562
 12.5  0.14228
 17.5  0.23979
 22.5  0.34563
 27.5  0.46397
 32.5  0.59039
 37.5  0.70172
 42.5  0.78619
 47.5  0.83767
 52.5  0.86704
 57.5  0.88563
 62.5  0.90072
 67.5  0.91511
 72.5  0.93201
 77.5  0.95168
 82.5  0.97063
 87.5  0.98752
 92.5  1.00261
 97.5  1.01118
102.5  1.01558
107.5  1.01453
112.5  1.01033
117.5  1.00625
122.5  1.00220
127.5  1.00031
132.5  0.99820
137.5  0.99700
142.5  0.99720
147.5  0.99692
152.5  0.99712
157.5  0.99640
162.5  0.99600
167.5  0.99661
172.5  0.99738
177.5  0.99956
182.5  1.00301
187.5  1.00834
192.5  1.01233
197.5  1.01351
